Ingreso,Ingreso específico,Valor,Código de entidad,Código de sector,Sector,Entidad,Año,Ingreso_alt,IPC,Valor_25
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,46430000000.0,403.0,4.0,Información estadística,Instituto geográfico agustín codazzi - igac,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,84094925796.04706
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",25000000.0,403.0,4.0,Información estadística,Instituto geográfico agustín codazzi - igac,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,45280489.8751061
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,556000000.0,403.0,4.0,Información estadística,Instituto geográfico agustín codazzi - igac,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,1007038094.8223598
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,300000000.0,1313.0,13.0,Hacienda,Superintendencia financiera de colombia,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,543365878.5012733
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,CONTRIBUCIONES PARAFISCALES,91500826000.0,503.0,5.0,Empleo público,Escuela superior de administración pública (esap),2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,165728089010.2738
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE AFILIADOS,119049493078.0,1503.0,15.0,Defensa y policía,Caja de retiro de las fuerzas militares,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,215624774638.19577
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,3601000000.0,1519.0,15.0,Defensa y policía,Hospital militar,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,6522201761.610283
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,10172900000.0,1519.0,15.0,Defensa y policía,Hospital militar,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,18425355818.018677
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,201267000000.0,1520.0,15.0,Defensa y policía,Agencia logística de las fuerzas militares,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,364538734227.7192
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OPERACIONES COMERCIALES,796689000000.0,1520.0,15.0,Defensa y policía,Agencia logística de las fuerzas militares,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,1442978727924.3362
